api,variant,k,calls,ns_per_call,e2e_ns,hf_ns,used,t_api_ns,cost_proposed,cost_current,size_bytes,env_ns_min,env_ns_median,exec_ns_min,exec_ns_median,open_exec_ns_mean,exec_count,notes
hook_pos,"K=4",4,7200,19.1078,285.569694,285.57,HF,285.57,51,40,0,3.80802e+06,4.0204e+06,2.87674e+06,2.89669e+06,2.90552e+06,1,"HF (E2E noisy)"
fee_base,"K=4",4,7200,69.6575,334.053953,336.119,HF,336.119,60,70,0,4.24145e+06,4.41018e+06,3.232e+06,3.28952e+06,3.27617e+06,1,"HF (E2E noisy)"
ledger_seq,"K=4",4,7200,70.0178,354.909200,336.48,E2E,354.909,64,140,0,4.38304e+06,4.52937e+06,3.26056e+06,3.32109e+06,3.3051e+06,1,""
float_one,"K=4",4,7200,19.0972,268.902719,285.559,HF,285.559,51,20,0,3.72348e+06,3.84497e+06,2.85742e+06,2.86814e+06,2.87746e+06,1,"HF (E2E noisy)"
otxn_type,"K=4",4,7200,68.0531,327.609046,334.515,HF,334.515,60,130,0,4.09503e+06,4.20475e+06,3.21413e+06,3.22443e+06,3.25453e+06,1,"HF (E2E noisy)"
etxn_generation,"K=4",4,7200,61.8426,307.882503,328.305,HF,328.305,59,130,0,3.97028e+06,4.08648e+06,3.17042e+06,3.19103e+06,3.1987e+06,1,"HF (E2E noisy)"
util_sha512h,"32B",1,1400,246.764,453.189598,513.225,HF,513.225,92,340,32,2.25233e+06,2.34673e+06,1.50498e+06,1.53379e+06,1.53689e+06,1,"HF (E2E noisy)"
util_sha512h,"1KiB",1,1400,1328.34,1680.653883,1594.8,E2E,1680.65,300,340,1024,3.92089e+06,4.01228e+06,3.03385e+06,3.0536e+06,3.05642e+06,1,""
util_sha512h,"16KiB",1,1400,17716.4,18179.541185,17982.9,E2E,18179.5,3300,340,16384,2.73239e+07,2.7446e+07,2.60398e+07,2.60983e+07,2.6097e+07,1,""
state,"32B",1,200,1985,2800.028266,2251.46,HF,2251.46,410,1700,32,1.49334e+06,1.62059e+06,620680,640666,528511,1,"HF (E2E noisy)"
state,"256B",1,200,2043.42,2579.344932,2309.89,HF,2309.89,420,1700,256,1.45386e+06,1.73756e+06,634029,658108,542681,1,"HF (E2E noisy)"
