api,variant,k,calls,ns_per_call,e2e_ns,hf_ns,used,t_api_ns,cost_proposed,cost_current,size_bytes,env_ns_min,env_ns_median,exec_ns_min,exec_ns_median,open_exec_ns_mean,exec_count,notes
hook_pos,"K=4",4,7200,13.8474,194.382956,194.383,E2E,194.383,51,40,0,2.58642e+06,2.68923e+06,2.00942e+06,2.10577e+06,2.1015e+06,1,""
fee_base,"K=4",4,7200,68.2451,269.723697,248.781,E2E,269.724,71,70,0,3.09092e+06,3.15429e+06,2.44888e+06,2.52746e+06,2.52719e+06,1,""
ledger_seq,"K=4",4,7200,69.0601,266.469993,249.596,E2E,266.47,70,140,0,3.08871e+06,3.15371e+06,2.51462e+06,2.55419e+06,2.54588e+06,1,""
float_one,"K=4",4,7200,14.6458,199.160425,195.181,E2E,199.16,53,20,0,2.60883e+06,2.69277e+06,2.0295e+06,2.11227e+06,2.07651e+06,1,""
otxn_type,"K=4",4,7200,66.5524,268.270456,247.088,E2E,268.27,71,130,0,3.06638e+06,3.09812e+06,2.36012e+06,2.52952e+06,2.52657e+06,1,""
etxn_generation,"K=4",4,7200,59.3099,244.897308,239.845,E2E,244.897,65,130,0,2.96704e+06,3.07948e+06,2.41267e+06,2.48454e+06,2.47786e+06,1,""
util_sha512h,"32B",1,1400,152.858,358.027608,333.393,HF,333.393,88,340,32,1.58125e+06,1.64288e+06,1.064e+06,1.13319e+06,1.11134e+06,1,"HF (E2E noisy)"
util_sha512h,"1KiB",1,1400,735.544,952.505386,916.079,HF,916.079,240,340,1024,2.50462e+06,2.66381e+06,1.92171e+06,2.04833e+06,1.96969e+06,1,"HF (E2E noisy)"
util_sha512h,"16KiB",1,1400,9251.1,9565.601417,9431.64,E2E,9565.6,2600,340,16384,1.45304e+07,1.46882e+07,1.38213e+07,1.39134e+07,1.3939e+07,1,""
state,"32B",1,200,1665.42,2298.523736,1845.96,HF,1845.96,490,1700,32,1.04204e+06,1.0921e+06,485375,498333,405046,1,"HF (E2E noisy)"
state,"256B",1,200,1661.46,2311.490403,1842,HF,1842,490,1700,256,1.05575e+06,1.12312e+06,484667,516792,424216,1,"HF (E2E noisy)"
state_set,"32B, modify (fixed keys)",1,200,631.005,8326.414446,3244.87,HF,3244.87,850,900,32,2.24967e+06,2.28608e+06,291667,304250,322458,1,"HF (ledger-write cost reported separately); E2E/HF ratio 2.566024; review #6: modify path"
state_set,"32B, create (fresh keys, salt=rep)",1,200,564.8,22955.575372,2142.63,HF,2142.63,570,900,32,5.23179e+06,5.51488e+06,270042,291750,307946,1,"HF (ledger-write cost reported separately); E2E/HF ratio 10.713735; review #6: create path"
state_set,"256B",1,200,566.875,7947.714446,3152.2,HF,3152.2,830,900,256,2.17075e+06,2.21877e+06,264000,283000,293171,1,"HF (ledger-write cost reported separately); E2E/HF ratio 2.521323"
util_raddr,"K=4",4,1200,274.998,490.546721,455.533,HF,455.533,120,980,0,1.20162e+06,1.2696e+06,712084,747250,748704,1,"HF (E2E noisy)"
util_accid,"K=4",4,1200,264.406,488.386536,444.941,E2E,488.387,130,690,0,1.19262e+06,1.22169e+06,705042,735812,748837,1,""
util_keylet,"ACCOUNT",4,1200,168.472,458.057678,349.007,HF,349.007,92,230,0,1.17838e+06,1.27002e+06,653709,695834,659287,1,"HF (E2E noisy); E2E/HF ratio 1.312459"
util_keylet,"CHILD",4,1200,73.02,278.235455,253.556,HF,253.556,67,230,0,1.02671e+06,1.10973e+06,535708,572729,564596,1,"HF (E2E noisy)"
util_keylet,"ESCROW",4,1200,190.159,465.966011,370.695,HF,370.695,98,230,0,1.23854e+06,1.3101e+06,717541,728520,741416,1,"HF (E2E noisy)"
util_keylet,"LINE",4,1200,184.276,447.253974,364.811,E2E,447.254,120,230,0,1.18921e+06,1.22844e+06,688000,707354,710429,1,""
util_keylet,"AMENDMENTS",4,1200,72.0517,345.634530,252.587,HF,252.587,67,230,0,1.0375e+06,1.08804e+06,528834,553416,582983,1,"HF (E2E noisy); E2E/HF ratio 1.368377"
util_keylet,"QUALITY",4,1200,75.4208,325.920641,255.956,HF,255.956,67,230,0,1.03375e+06,1.08852e+06,557500,568958,548483,1,"HF (E2E noisy); AMENDMENTS's case also covers FEES/NEGATIVE_UNL/EMITTED_DIR (identical switch case); AMM/BRIDGE/XCHAIN_*/MPTOKEN_*/CREDENTIAL/PERMISSIONED_DOMAIN not built (complex multi-part operands -- asset pairs, bridge specs); every other keylet_type is covered below"
util_keylet,"HOOK",4,1200,161.2,424.416011,341.736,E2E,424.416,120,230,0,1.14871e+06,1.17771e+06,636709,682542,682338,1,""
util_keylet,"HOOK_STATE",4,1200,173.209,423.027122,353.745,HF,353.745,93,230,0,1.13542e+06,1.21315e+06,646833,689416,686746,1,"HF (E2E noisy)"
util_keylet,"SKIP",4,1200,69.5083,323.218789,250.044,HF,250.044,66,230,0,1.02146e+06,1.12952e+06,523500,566625,572446,1,"HF (E2E noisy)"
util_keylet,"OFFER",4,1200,171.278,395.866937,351.813,HF,351.813,93,230,0,1.10504e+06,1.17523e+06,644583,676229,690975,1,"HF (E2E noisy)"
util_keylet,"SIGNERS",4,1200,167.586,443.319715,348.121,HF,348.121,92,230,0,1.16604e+06,1.21469e+06,662167,690542,669621,1,"HF (E2E noisy)"
util_keylet,"CHECK",4,1200,168.526,435.255826,349.061,HF,349.061,92,230,0,1.1595e+06,1.21673e+06,649166,675334,676454,1,"HF (E2E noisy)"
util_keylet,"DEPOSIT_PREAUTH",4,1200,170.807,420.365085,351.342,HF,351.342,92,230,0,1.15775e+06,1.21044e+06,645917,682396,672954,1,"HF (E2E noisy)"
util_keylet,"UNCHECKED",4,1200,71.3233,349.068789,251.859,E2E,349.069,92,230,0,1.05446e+06,1.08173e+06,539416,570604,583442,1,"E2E/HF ratio 1.385969"
util_keylet,"OWNER_DIR",4,1200,161.763,432.980826,342.299,E2E,432.981,120,230,0,1.15429e+06,1.18954e+06,637416,678438,666591,1,""
util_keylet,"PAGE",4,1200,168.847,413.998418,349.383,HF,349.383,92,230,0,1.1435e+06,1.218e+06,655375,684188,675912,1,"HF (E2E noisy)"
util_keylet,"PAYCHAN",4,1200,179.35,419.863233,359.886,E2E,419.863,110,230,0,1.15058e+06,1.17892e+06,654792,688646,703783,1,""
util_keylet,"EMITTED_TXN",4,1200,165.312,433.442863,345.848,E2E,433.443,120,230,0,1.16383e+06,1.19667e+06,659000,676730,677996,1,""
util_keylet,"NFT_OFFER",4,1200,177.396,439.808604,357.931,E2E,439.809,120,230,0,1.16454e+06,1.1819e+06,677375,691563,683400,1,""
util_keylet,"HOOK_DEFINITION",4,1200,167.454,443.319715,347.99,HF,347.99,92,230,0,1.17171e+06,1.24335e+06,654625,683792,678062,1,"HF (E2E noisy)"
util_keylet,"HOOK_STATE_DIR",4,1200,224.581,497.255826,405.116,HF,405.116,110,230,0,1.24083e+06,1.36846e+06,739833,771916,762221,1,"HF (E2E noisy)"
util_keylet,"CRON",4,1200,224.052,491.237307,404.587,HF,404.587,110,230,0,1.22846e+06,1.30729e+06,736750,742688,728996,1,"HF (E2E noisy)"
util_keylet,"ORACLE",4,1200,210.209,420.441011,390.745,HF,390.745,110,230,0,1.23617e+06,1.31342e+06,709833,781084,761425,1,"HF (E2E noisy)"
etxn_burden,"K=4",4,1200,127.607,366.707956,308.142,E2E,366.708,96,260,0,1.05742e+06,1.0959e+06,516791,535313,546612,1,""
otxn_burden,"K=4",4,1200,111.693,302.626474,292.229,HF,292.229,77,260,0,956042,1.00821e+06,465292,497812,498596,1,"HF (E2E noisy)"
otxn_generation,"K=4",4,1200,117.433,322.379252,297.969,HF,297.969,78,280,0,1.00708e+06,1.12604e+06,493625,523146,541979,1,"HF (E2E noisy)"
ledger_last_time,"K=4",4,1200,66.7742,225.388511,247.31,HF,247.31,65,110,0,911625,1.05663e+06,417958,447188,448742,1,"HF (E2E noisy)"
ledger_last_hash,"K=4",4,1200,73.0242,354.013450,253.56,HF,253.56,67,210,0,1.03917e+06,1.09188e+06,472959,506500,524429,1,"HF (E2E noisy); E2E/HF ratio 1.396174"
hook_account,"K=4",4,1200,77.35,293.327338,257.886,HF,257.886,68,140,0,954667,1.00073e+06,479875,499833,486050,1,"HF (E2E noisy)"
hook_hash,"hook_no=0",4,1200,102.888,321.411567,283.424,HF,283.424,75,340,0,994000,1.03954e+06,494000,530104,525821,1,"HF (E2E noisy)"
